order_id,order_date,ship_date,estimated_delivery_date,customer_id,state,city,carrier,order_value,weight_kg,status
5001,2024-04-03,,2024-04-05,CUST_00001,GO,Anápolis,TransLog,465.14,3.37,in_transit
5002,2024-03-11,,2024-03-18,CUST_00002,SP,Campinas,FastShip,390.38,2.95,in_transit
5003,2024-07-20,2024-07-26,2024-07-26,CUST_00003,SC,Florianópolis,TransLog,654.84,7.23,delivered
5004,2024-08-08,2024-08-20,2024-08-15,CUST_00004,PE,Olinda,FastShip,310.32,4.07,delivered
5005,2024-10-14,2024-10-25,2024-10-19,CUST_00005,PR,Maringá,TransLog,892.52,6.59,delivered
5006,2024-03-10,2024-03-14,2024-03-12,CUST_00006,CE,Fortaleza,TransLog,662.31,0.29,delivered
5007,2024-03-30,2024-04-09,2024-04-05,CUST_00007,GO,Anápolis,LocalEx,249.88,0.68,delivered
5008,2024-11-27,,2024-12-03,CUST_00008,CE,Fortaleza,FastShip,533.58,6.53,in_transit
5009,2024-06-23,2024-07-02,2024-07-01,CUST_00009,CE,Caucaia,FastShip,522.69,1.42,delivered
5010,2024-11-08,,2024-11-11,CUST_00010,CE,Fortaleza,TransLog,844.83,5.63,in_transit
5011,2024-03-01,2024-03-05,2024-03-04,CUST_00011,RS,Caxias do Sul,FastShip,828.63,6.12,delivered
5012,2024-05-20,2024-05-27,2024-05-26,CUST_00012,MG,Belo Horizonte,FastShip,431.46,5.07,delivered
5013,2024-06-19,,2024-06-26,CUST_00013,SC,Florianópolis,TransLog,248.1,1.22,in_transit
5014,2024-10-30,,2024-11-01,CUST_00014,PE,Olinda,FastShip,852.7,5.89,in_transit
5015,2024-05-14,2024-05-19,2024-05-19,CUST_00015,RS,Porto Alegre,TransLog,744.31,6.26,delivered
5016,2024-11-26,2024-12-01,2024-11-30,CUST_00016,PR,Maringá,FastShip,960.51,1.49,delivered
5017,2024-07-08,,2024-07-15,CUST_00017,SP,Campinas,LocalEx,188.42,7.64,in_transit
5018,2024-12-23,,2024-12-25,CUST_00018,RS,Porto Alegre,FastShip,804.41,8.3,in_transit
5019,2024-11-11,,2024-11-18,CUST_00019,CE,Fortaleza,LocalEx,798.29,6.85,in_transit
5020,2024-12-02,2024-12-05,2024-12-04,CUST_00020,GO,Anápolis,TransLog,1254.94,7.22,delivered
5021,2024-10-28,2024-11-11,2024-11-05,CUST_00021,MG,Uberlândia,FastShip,67.27,5.4,delivered
5022,2024-05-05,2024-05-14,2024-05-09,CUST_00022,CE,Caucaia,TransLog,762.35,8.71,delivered
5023,2024-10-30,,2024-11-02,CUST_00023,RJ,Niterói,TransLog,255.56,5.2,in_transit
5024,2024-03-19,2024-04-01,2024-03-27,CUST_00024,PE,Olinda,TransLog,898.18,6.78,delivered
5025,2024-01-16,2024-01-30,2024-01-24,CUST_00025,PE,Recife,FastShip,805.1,7.59,delivered
5026,2024-03-26,2024-03-31,2024-04-01,CUST_00026,BA,Salvador,TransLog,235.56,1.67,delivered
5027,2024-02-24,2024-03-05,2024-02-28,CUST_00027,RJ,Rio de Janeiro,FastShip,213.83,1.68,delivered
