order_id,order_date,ship_date,estimated_delivery_date,customer_id,state,city,carrier,order_value,weight_kg,status
3001,2024-01-24,2024-01-30,2024-01-27,CUST_0001,SC,Florianópolis,LocalEx,500.96,7.59,delivered
3002,2024-11-20,2024-11-29,2024-11-28,CUST_0002,GO,Anápolis,FastShip,558.34,2.01,delivered
3003,2024-04-16,2024-04-23,2024-04-19,CUST_0003,RS,Caxias do Sul,TransLog,116.01,6.55,delivered
3004,2024-10-28,2024-11-09,2024-11-05,CUST_0004,GO,Anápolis,LocalEx,138.42,6.03,delivered
3005,2024-08-23,2024-08-28,2024-08-28,CUST_0005,RJ,Rio de Janeiro,LocalEx,486.98,5.26,delivered
3006,2024-12-02,2024-12-08,2024-12-06,CUST_0006,CE,Caucaia,LocalEx,451.6,6.38,delivered
3007,2024-12-31,,2025-01-02,CUST_0007,SP,Santos,LocalEx,456.68,2.93,in_transit
3008,2024-06-26,2024-06-30,2024-06-30,CUST_0008,SC,Joinville,TransLog,227.63,3.66,delivered
3009,2024-11-14,2024-11-23,2024-11-21,CUST_0009,BA,Feira de Santana,LocalEx,139.17,1.05,delivered
3010,2024-05-20,2024-05-31,2024-05-26,CUST_0010,SC,Florianópolis,TransLog,112.69,3.92,delivered
3011,2024-12-08,2024-12-13,2024-12-13,CUST_0011,RS,Porto Alegre,LocalEx,588.6,2.63,delivered
3012,2024-08-01,,2024-08-03,CUST_0012,MG,Uberlândia,TransLog,120.3,7.24,in_transit
3013,2024-04-01,2024-04-04,2024-04-04,CUST_0013,SC,Florianópolis,LocalEx,91.63,5.99,delivered
3014,2024-11-28,2024-12-06,2024-12-05,CUST_0014,GO,Anápolis,TransLog,198.23,4.4,delivered
3015,2024-12-17,2024-12-27,2024-12-22,CUST_0015,SC,Joinville,FastShip,165.21,2.93,delivered
3016,2024-05-24,,2024-05-26,CUST_0016,CE,Caucaia,TransLog,127.98,1.12,in_transit
3017,2024-04-20,,2024-04-22,CUST_0017,GO,Goiânia,TransLog,571.89,7.01,in_transit
